time,value
19425,922
19436,921
19447,921
19459,921
19470,921
19482,921
19493,921
19505,922
19516,921
19527,921
19538,921
19551,921
19562,921
19573,921
19585,921
19596,921
19607,921
19619,921
19631,921
19642,921
19653,921
19664,921
19677,921
19688,921
19699,921
19710,921
19722,921
19733,921
19745,920
19757,921
19768,921
19779,921
19790,921
19802,922
19814,922
19825,921
19836,922
19848,922
19859,922
19870,922
19883,923
19894,923
19905,922
19916,923
19928,923
19939,923
19951,923
19962,923
19974,923
19985,923
19996,923
20007,923
20020,923
20031,923
20042,923
20054,922
20065,922
20077,922
20088,922
20100,923
20111,922
20122,922
20133,922
20146,921
20157,922
20168,922
20179,921
20191,921
20202,921
20214,921
20226,921
20237,921
20248,921
20259,921
20271,921
20283,921
20294,921
20305,921
20317,921
20328,921
20339,921
20352,921
20363,921
20374,922
20385,921
20397,921
20409,921
20420,921
20431,921
20443,921
20454,921
20465,921
20477,921
20489,921
20500,920
20511,920
20523,920
20534,920
20546,921
20557,920
20569,920
20580,920
20591,920
20602,919
20615,920
20626,920
20637,919
20648,919
20660,920
20671,920
20683,919
20695,920
20706,920
20717,919
20728,920
20740,919
20752,920
20763,920
20774,919
20786,919
20797,919
20809,920
20820,919
20832,919
20843,919
20854,920
20866,919
20878,919
20889,919
20900,919
20912,919
20923,919
20934,919
20946,919
20958,919
20969,919
20980,919
20992,919
21003,919
21015,918
21026,918
21038,918
21049,918
21060,918
21071,918
21084,918
21095,918
21106,918
21117,918
21129,918
21141,918
21152,918
21164,918
21175,918
21186,917
21197,918
21210,917
21221,918
21232,917
21243,917
21255,917
21266,917
21278,917
21289,917
21301,918
21312,917
21323,917
21335,917
21347,917
21358,917
21369,917
21381,917
21392,916
21403,916
21415,917
21427,916
21438,916
21449,916
21460,916
21472,915
21484,916
21495,915
21507,915
21518,915
21529,915
21541,915
21553,915
21564,914
21575,915
21586,914
21598,915
21610,915
21621,915
21633,915
21644,915
21655,915
21666,914
21679,915
21690,915
21701,915
21712,913
