time,value
218770,229
218782,229
218795,229
218808,229
218820,229
218832,229
218845,229
218857,229
218869,229
218883,229
218895,229
218907,229
218919,229
218932,229
218945,229
218957,229
218970,229
218982,229
218994,228
219008,229
219020,228
219032,229
219044,229
219057,229
219069,228
219082,228
219095,228
219107,228
219119,228
219131,229
219145,228
219157,229
219169,228
219182,228
219194,228
219207,228
219219,228
219232,228
219244,228
219256,228
219269,228
219282,228
219294,228
219307,228
219319,228
219331,228
219344,228
219357,228
219369,228
219381,228
219394,228
219407,228
219419,228
219431,228
219444,228
219456,229
219468,228
219482,228
219494,228
219506,228
219518,228
219531,228
219544,228
219556,228
219569,228
219581,228
219593,228
219607,228
219619,228
219631,228
219643,228
219656,228
219668,228
219681,229
219694,229
219706,229
219718,229
219730,229
219744,229
219756,229
219768,229
219781,229
219793,229
219806,229
219819,229
219831,229
219843,229
219855,229
219868,229
219881,230
219893,230
219906,230
219918,230
219930,230
219943,230
219956,230
219968,229
219980,230
219993,229
220006,229
220018,229
220030,230
220043,229
220055,230
220067,230
220081,229
220093,230
220105,230
220118,230
220130,230
220143,230
220155,230
220168,230
220180,230
220192,230
220206,230
220218,230
220230,230
220242,229
220255,230
220267,230
220280,230
220293,230
220305,230
220317,230
220329,230
220343,230
220355,230
220367,230
220380,230
220392,230
220405,230
220418,230
220430,230
220442,230
220454,230
220467,230
220480,230
220492,230
220505,231
220517,230
220529,230
220542,230
220555,230
220567,230
220579,231
220592,230
220605,230
220617,231
220630,231
220642,231
220654,231
220666,230
220680,230
220692,231
220704,231
220717,231
220729,231
220742,231
220754,231
220767,231
220779,231
220791,231
220805,231
220817,231
220829,231
220841,231
220854,231
220866,231
220879,231
220892,231
220904,231
220916,231
220929,231
220942,231
220954,231
220966,231
220979,231
220991,231
221004,231
221017,231
221029,231
221041,231
221053,231
221066,231
221079,231
221091,231
221104,231
221116,231
221128,231
221142,231
221154,231
221166,231
221178,231
221191,231
221204,231
221216,231
221229,231
221241,231
221253,231
221265,231
221279,231
221291,231
221303,232
221316,231
221328,232
221341,231
221353,232
221366,232
221378,231
221390,231
221404,231
221416,231
221428,231
221441,231
221453,232
221465,232
221478,232
221491,231
221503,231
221515,232
221528,232
221541,232
221553,231
221565,232
221578,231
221590,231
221603,231
221616,231
221628,231
221640,231
221652,231
221665,231
221678,231
221690,231
221703,231
221715,231
221727,231
221741,231
221753,231
221765,231
221777,231
221790,231
221803,231
221815,231
221828,231
221840,231
221852,231
221864,231
221878,231
221890,231
221902,231
221915,231
221927,231
221940,231
221953,231
221965,231
221977,231
221989,230
222003,230
222015,231
222027,231
222040,231
222052,230
222064,230
222077,230
222090,230
222102,230
222114,231
222127,230
222140,230
222152,230
222164,230
222177,231
222189,231
222202,230
222215,230
222227,230
222239,231
222252,231
222264,231
222277,231
222289,231
222302,230
222314,231
222326,231
222340,231
222352,231
222364,231
222376,231
222389,231
222402,231
222414,231
222427,231
222439,231
222451,231
222464,231
222477,231
222489,231
222501,231
222514,231
222526,231
222539,231
222552,231
222564,231
222576,231
222588,231
222602,231
222614,231
222626,231
222639,231
222651,231
222663,231
222676,231
222689,231
222701,231
222713,231
222726,231
222739,231
222751,231
222764,231
222776,231
222788,231
222801,231
222814,231
222826,231
222838,231
222851,231
222863,231
222876,231
222888,231
222901,231
222913,231
222925,231
222939,231
222951,231
222963,231
222976,231
222988,231
223001,231
223013,231
223026,231
223038,231
223050,231
223063,231
223076,231
223088,231
223100,231
223113,231
223125,231
223138,231
223151,231
223163,231
223175,231
223187,231
223201,231
223213,231
223225,231
223238,231
223250,231
223262,231
223276,231
223288,231
223300,231
223312,231
223325,231
223338,231
223350,231
223363,231
223375,231
223387,231
223400,230
223413,231
223425,230
223437,231
223450,231
223462,231
223475,230
223488,231
223500,230
223512,230
223524,230
223538,230
223550,230
223562,230
223575,230
223587,230
223600,230
223612,230
223625,230
223637,230
223649,230
223662,230
223675,230
223687,230
223699,230
223712,231
223724,231
223737,230
223750,230
223762,230
223774,230
223787,230
223800,230
223812,230
223824,230
223837,231
223849,230
223861,231
223875,230
223887,230
223899,230
223911,231
223924,230
223937,231
223949,230
223962,230
223974,230
223986,231
224000,230
224012,231
224024,230
224036,230
224049,231
224061,231
224074,230
224087,231
224099,230
224111,231
224123,231
224137,231
224149,231
224161,231
224174,230
224186,230
224199,231
224211,231
224224,230
224236,230
224248,230
224261,230
224274,230
224286,231
224299,230
224311,231
224323,230
224336,230
224349,230
224361,231
224373,230
224386,230
224399,231
224411,230
224423,230
224436,230
224448,230
224460,230
224474,230
224486,230
224498,230
224510,230
224523,230
224536,230
224548,230
224561,230
224573,230
224585,230
224599,230
224611,230
224623,230
224635,230
224648,230
224660,230
224673,230
224686,230
224698,230
224710,230
224722,230
224736,230
224748,230
224760,230
224773,230
224785,230
224798,230
224811,230
224823,230
224835,230
224847,230
224860,230
224873,230
224885,230
224898,230
224910,230
224922,230
224935,230
224948,230
224960,230
224972,230
224985,230
224998,230
225010,230
225022,230
225035,230
225047,230
225059,230
225073,230
225085,230
225097,230
225110,230
225122,230
225135,230
225147,230
225160,230
225172,230
225184,230
225198,230
225210,230
225222,230
225234,229
225247,230
225259,230
225272,230
225285,230
225297,230
225309,230
225321,229
225335,230
225347,230
225359,230
225372,230
225384,229
225397,229
225410,230
225422,230
225434,230
225446,230
225459,230
225472,230
225484,230
225497,230
225509,229
225521,229
225534,229
225547,229
225559,229
225571,230
225584,230
225597,230
225609,229
225622,230
225634,230
225646,230
225658,230
225672,229
225684,229
225696,230
225709,229
225721,229
225734,230
225746,229
225759,229
225771,229
225783,229
225797,230
225809,229
225821,229
225833,229
225846,229
225858,229
225871,229
225884,229
225896,229
225908,229
225921,229
225934,229
225946,229
225958,229
225971,229
225983,229
225996,230
226009,229
226021,229
226033,229
226045,230
226058,229
226071,229
226083,229
226096,229
226108,229
226120,229
226134,229
226146,229
226158,229
226170,229
226183,229
226196,229
226208,229
226221,230
226233,229
226245,229
226257,229
226271,230
226283,229
226295,229
226308,229
226320,229
226333,229
226345,229
226358,229
226370,229
226382,229
226396,229
226408,230
226420,230
226433,229
226445,229
226457,229
226470,229
226483,229
226495,230
226507,229
226520,230
226533,229
226545,229
226557,229
226570,229
226582,229
226595,229
226608,229
226620,229
226632,229
226644,229
226657,229
226670,229
226682,229
226695,229
226707,229
226719,229
226733,229
226745,230
226757,229
226769,229
226782,229
226795,229
226807,229
226820,230
226832,229
226844,229
226856,229
226870,229
226882,229
226894,229
226907,229
226919,229
226932,229
226945,229
226957,229
226969,229
226981,229
226995,229
227007,230
227019,229
227032,229
227044,229
227056,229
227069,229
227082,229
227094,229
227106,229
227119,230
227132,229
227144,229
227156,229
227169,229
227181,230
227194,229
227207,229
227219,229
227231,229
227244,229
227256,229
227269,229
227281,229
227294,229
227306,229
227318,229
227332,229
227344,230
227356,229
227368,230
227381,229
227394,229
227406,229
227419,229
227431,229
227443,229
227456,229
227469,230
227481,229
227493,230
227506,229
227518,230
227531,229
227544,229
227556,229
227568,229
227580,229
227594,229
227606,229
227618,229
227631,229
227643,229
227655,229
227668,230
227681,229
227693,230
227705,229
227718,230
227731,230
227743,229
227756,229
227768,229
227780,229
227793,230
227806,229
227818,229
227830,230
227843,229
227855,229
227868,229
227880,229
227893,230
227905,230
227917,230
227931,230
227943,229
227955,229
227968,229
227980,229
227993,229
228005,230
228018,230
228030,229
228042,229
228055,229
228068,229
228080,229
228092,230
228105,229
228117,230
228130,229
228143,230
228155,230
228167,229
228179,229
228193,229
228205,230
228217,229
228230,229
228242,230
228254,229
228268,229
228280,229
228292,230
228304,230
228317,230
228330,229
228342,229
228355,230
228367,229
228379,230
228392,229
228405,229
228417,229
228429,229
228442,229
228454,230
228467,230
228480,229
228492,229
228504,229
228516,229
228530,230
228542,229
228554,229
228567,229
228579,229
228592,229
228604,229
228617,229
228629,229
228641,229
228654,229
228667,229
228679,229
228691,229
228704,229
228716,229
228729,229
228742,229
228754,229
228766,229
228779,229
228792,229
228804,229
228816,229
228829,229
228841,229
228853,229
228867,229
228879,229
228891,229
228903,229
228916,229
228929,229
228941,229
228954,229
228966,229
228978,229
228992,229
229004,229
229016,229
229028,229
229041,229
229053,229
229066,229
229079,229
229091,229
229103,229
229115,229
229129,229
229141,229
229153,229
229166,229
229178,229
229191,228
229203,229
229216,229
229228,229
229240,229
229253,229
229266,228
229278,229
229291,229
229303,229
229315,229
229328,229
229341,229
229353,228
229365,228
229378,229
229391,229
229403,229
229415,229
229428,229
229440,229
229452,229
229466,229
229478,229
229490,228
229502,229
229515,229
229528,229
229540,229
229553,229
229565,228
229577,229
229591,229
229603,229
229615,229
229627,229
229640,228
229652,229
229665,229
229678,229
229690,229
229702,229
229714,229
229728,229
229740,228
229752,229
229765,229
229777,229
229790,228
229803,229
229815,229
229827,229
229839,229
229852,229
229865,229
229877,229
229890,228
229902,229
229914,229
229927,228
229940,228
229952,229
229964,229
229977,229
229990,229
230002,229
230014,229
230027,229
230039,229
230051,229
230065,229
230077,229
230089,229
230102,229
230114,228
230127,229
230139,229
230152,229
230164,229
230176,229
230190,229
230202,229
230214,229
230226,229
230239,229
230251,229
230264,229
230277,229
230289,229
230301,229
230313,229
230327,229
230339,229
230351,229
230364,229
230376,229
230389,229
230402,229
230414,229
230426,229
230438,229
230451,229
230464,229
230476,229
230489,229
230501,229
230513,229
230526,229
230539,229
230551,229
230563,229
230576,228
230589,229
230601,229
230614,229
230626,229
230638,228
230650,229
230664,229
230676,229
230688,229
230701,229
230713,228
230726,229
230738,229
230751,229
230763,229
230775,229
230789,229
230801,229
230813,229
230825,231
230838,232
230850,233
230863,232
230876,231
230888,231
230900,229
230913,230
230926,231
230938,231
230950,231
230963,230
230975,230
230988,230
231001,230
231013,229
231025,229
231037,228
231050,230
231063,230
231075,230
231088,229
231100,228
231112,227
231126,227
231138,230
231150,230
231162,231
231175,232
231188,231
231200,230
231213,229
231225,228
231237,227
231249,228
231263,230
231275,231
231287,230
231300,227
231312,227
231325,227
231337,229
231350,231
231362,229
231374,226
231388,225
231400,228
231412,229
231425,229
231437,230
231449,230
231462,231
231475,231
231487,230
231499,230
231512,230
231525,226
231537,226
231549,226
231562,227
231574,228
231587,230
231600,231
231612,230
231624,231
231636,229
231649,228
231662,230
231674,230
231687,230
231699,229
231711,228
231725,228
231737,229
231749,229
231761,229
231774,230
231787,230
231799,229
231812,229
231824,228
231836,228
231848,227
231862,227
231874,228
231886,229
231899,229
231911,229
231924,229
231937,229
231949,229
231961,229
231973,229
231987,228
231999,228
232011,228
232024,228
232036,228
232048,229
232061,229
232074,229
232086,229
232098,229
232111,229
232124,228
232136,229
232148,228
232161,228
232173,228
232186,229
232199,229
232211,229
232223,229
232236,229
232248,229
232261,229
232273,228
232286,228
232298,228
232310,228
232324,228
232336,228
232348,228
232360,228
232373,229
232386,229
232398,229
232411,229
232423,228
232435,228
232448,228
232461,228
232473,228
232485,229
232498,229
232510,229
232523,229
232536,229
232548,229
232560,229
232572,229
232586,229
232598,228
232610,228
232623,228
232635,229
232647,229
232660,229
232673,229
232685,229
232697,229
232710,229
232723,229
232735,229
232748,229
232760,228
232772,229
232785,229
232798,229
232810,229
232822,229
232835,229
232847,229
232860,229
232872,229
232885,229
232897,229
232909,229
232923,229
232935,229
232947,229
232960,229
232972,229
232985,229
232997,229
233010,229
233022,229
233034,229
233047,229
233060,229
233072,229
233084,229
233097,229
233109,229
233122,229
233135,229
233147,229
233159,229
233171,229
233185,229
233197,229
233209,229
233222,229
233234,229
233246,229
233260,229
233272,229
233284,229
233296,229
233309,230
233322,229
233334,229
233347,229
233359,229
233371,229
233384,229
233397,229
233409,229
233421,229
233434,229
233446,229
233459,229
233472,229
233484,229
233496,229
233508,229
233522,229
233534,229
233546,229
233559,229
233571,229
233584,229
233596,229
233609,229
233621,229
233633,229
233646,229
233659,229
233671,229
233683,229
233696,229
233708,229
233721,229
233734,229
233746,229
233758,229
233771,229
233784,229
233796,229
233808,229
233821,229
233833,230
233845,229
233859,229
233871,229
233883,229
233895,229
233908,229
233921,230
233933,229
233946,229
233958,230
233970,229
233984,229
233996,229
234008,229
234020,229
234033,229
234045,229
234058,229
234071,230
234083,229
234095,229
234107,230
234121,229
234133,229
234145,229
234158,229
234170,229
234183,229
234195,229
234208,229
234220,229
234232,229
234245,229
234258,229
234270,229
234283,229
234295,229
234307,229
234320,229
234333,229
234345,229
234357,229
234370,229
234383,229
234395,229
234407,229
234420,229
234432,229
234444,229
234458,229
234470,229
234482,229
234494,229
234507,229
234520,229
234532,229
234545,229
234557,229
234569,229
234583,229
234595,229
234607,229
234619,229
234632,229
234644,229
234657,229
