,982
17769,969
17780,970
17792,969
17803,969
17815,970
17826,969
17838,969
17849,969
17860,969
17871,969
17884,969
17895,969
17906,968
17917,969
17929,969
17940,969
17952,969
17964,969
17975,969
17986,969
17997,969
18009,969
18021,969
18032,968
18043,968
18055,968
18066,967
18077,968
18089,967
18101,968
18112,968
18123,967
18135,967
18146,966
18158,967
18169,966
18181,966
18192,966
18203,966
18215,965
18227,965
18238,965
18249,965
18260,966
18272,965
18284,966
18295,966
18307,967
18318,967
18329,966
18340,966
18353,967
18364,966
18375,967
18386,967
18398,966
18409,966
18421,965
18433,966
18444,966
18455,966
18466,965
18478,965
18490,965
18501,966
18512,965
18524,965
18535,965
18547,965
18558,965
18570,965
18581,964
18592,964
18604,964
18616,964
18627,963
18638,964
18650,964
18661,963
18672,964
18684,964
18696,963
18707,963
18718,963
18729,963
18741,963
18753,963
18764,963
18776,962
18787,963
18798,963
18809,963
18822,963
18833,963
18844,963
18855,963
18867,964
18878,964
18890,964
18902,964
18913,964
18924,964
18935,964
18948,964
18959,963
18970,962
18981,962
18993,962
19004,962
19016,961
19027,962
19039,962
19050,963
19061,962
19073,962
19085,964
19096,964
19107,963
19119,963
19130,964
19141,964
19153,964
19165,963
19176,964
19187,963
19198,963
19210,963
19222,963
19233,963
19245,963
19256,962
19267,963
19279,962
19291,962
19302,963
19313,962
19324,963
19336,962
19348,962
19359,962
19371,963
19382,962
19393,963
19404,963
19417,962
19428,963
19439,962
19450,963
19462,963
19473,963
19485,963
19496,963
19508,963
19519,962
19530,963
19542,962
19554,962
19565,962
19576,962
19588,962
19599,960
19610,961
19622,962
19634,962
19645,962
19656,961
19667,961
19680,959
19691,960
19702,961
19714,961
19725,960
19736,961
19748,960
19760,961
19771,959
19782,960
19793,960
19805,959
19817,960
19828,960
19840,959
19851,959
19862,959
19873,959
19886,959
19897,959
19908,959
19919,960
19931,960
19942,960
19954,960
19965,959
19977,960
19988,960
19999,959
20012,959
20023,960
20034,959
20045,959
20057,959
20068,960
20080,959
20091,959
20103,959
20114,960
20125,960
20136,960
20149,959
20160,960
20171,960
20183,960
20194,960
20205,960
20217,960
20229,960
20240,959
20251,960
20262,959
20274,959
20286,959
20297,959
20308,958
20320,955
20331,950
20342,949
20355,948
20366,950
20377,951
20388,950
20400,948
20412,949
20423,950
20434,951
20446,952
20457,952
20468,951
20481,950
20492,951
20503,953
20514,953
20526,953
20537,954
20549,954
20560,954
20572,954
20583,955
20594,955
20605,955
20618,955
20629,954
20640,955
20652,954
20663,953
20674,953
20686,953
20698,953
20709,954
20720,953
20731,954
20744,954
20755,955
20766,954
20777,954
20789,954
20800,954
20812,953
20824,953
20835,951
20846,949
20857,948
20869,949
20881,949
20892,948
20903,949
20915,949
20926,949
20937,950
20950,950
20961,951
20972,951
20983,952
20995,952
21006,953
21018,953
21029,953
21041,953
21052,952
21063,953
21074,952
21087,952
21098,952
21109,952
21121,953
21132,952
21144,953
21155,953
21167,953
21178,954
21189,953
21200,953
21213,953
21224,953
21235,953
21246,953
21258,953
21269,953
21281,953
21293,952
21304,952
21315,952
21326,951
21338,952
21350,951
21361,951
21372,951
21384,951
21395,951
21406,950
21419,950
21430,950
21441,950
21452,950
21464,950
21476,949
21487,949
21498,948
21510,949
21521,949
21532,947
21544,948
21556,948
21567,948
21578,948
21590,948
21601,949
21613,949
21624,950
21636,949
21647,949
21658,949
21669,949
21682,948
21693,948
21704,948
21715,947
21727,946
21738,944
21750,942
21762,941
21773,940
21784,939
21795,938
21807,937
21819,936
21830,936
21841,936
21853,936
21864,937
21876,937
21888,938
21899,938
21910,939
21921,939
21933,940
21945,941
21956,942
21967,942
21979,942
21990,942
22001,942
22013,942
22025,943
22036,944
22047,944
22059,944
22070,944
22082,945
22093,945
22105,946
22116,946
22127,946
22138,947
22151,947
22162,947
22173,948
22184,948
22196,947
22208,948
22219,948
22231,948
22242,948
22253,948
22264,948
22277,948
22288,948
22299,948
22310,948
22322,948
22333,948
22345,948
22356,948
22368,949
22379,948
22390,948
22402,949
22414,948
22425,947
22436,948
22448,948
22459,948
22470,948
22482,948
22494,948
22505,948
22516,948
22528,948
22539,948
22551,948
22562,948
22574,948
22585,948
22596,948
22608,948
22620,948
22631,948
22642,947
22653,948
22665,947
22677,948
22688,948
22700,948
22711,948
22722,948
22733,948
22746,948
22757,948
22768,948
22779,948
22791,948
22802,948
22814,948
22825,947
22837,947
22848,947
22859,947
22871,948
22883,947
22894,946
22905,947
22917,946
22928,946
22940,945
22951,945
22963,945
22974,944
22985,943
22996,943
23009,943
23020,943
23031,942
23043,942
23054,940
23065,941
